#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Stopped","AJRouter","AllJoyn Router Service",
"Stopped","ALG","Application Layer Gateway Service",
"Stopped","AppIDSvc","Application Identity",
"Stopped","Appinfo","Application Information",
"Running","AppMgmt","Application Management",
"Stopped","AppReadiness","App Readiness",
"Stopped","AppVClient","Microsoft App-V Client",
"Stopped","AppXSvc","AppX Deployment Service (AppXSVC)",
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service",
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder",
"Running","Audiosrv","Windows Audio",
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)",
"Stopped","BcastDVRUserService_2f4b01f","GameDVR and Broadcast User Service_2f4b01f",
"Stopped","BDESVC","BitLocker Drive Encryption Service",
"Running","BFE","Base Filtering Engine",
"Stopped","BITS","Background Intelligent Transfer Service",
"Stopped","BluetoothUserService_2f4b01f","Bluetooth User Support Service_2f4b01f",
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service",
"Stopped","BTAGService","Bluetooth Audio Gateway Service",
"Running","BthAvctpSvc","AVCTP service",
"Stopped","bthserv","Bluetooth Support Service",
"Stopped","camsvc","Capability Access Manager Service",
"Stopped","CaptureService_2f4b01f","CaptureService_2f4b01f",
"Running","cbdhsvc_2f4b01f","Clipboard User Service_2f4b01f",
"Running","CDPSvc","Connected Devices Platform Service",
"Running","CDPUserSvc_2f4b01f","Connected Devices Platform User Service_2f4b01f",
"Running","CertPropSvc","Certificate Propagation",
"Stopped","ClipSVC","Client License Service (ClipSVC)",
"Stopped","COMSysApp","COM+ System Application",
"Stopped","ConsentUxUserSvc_2f4b01f","ConsentUX_2f4b01f",
"Running","CoreMessagingRegistrar","CoreMessaging",
"Running","cphs","Intel(R) Content Protection HECI Service",
"Running","cplspcon","Intel(R) Content Protection HDCP Service",
"Running","CryptSvc","Cryptographic Services",
"Stopped","CscService","Offline Files",
"Running","DcomLaunch","DCOM Server Process Launcher",
"Stopped","defragsvc","Optimize drives",
"Stopped","DeviceAssociationService","Device Association Service",
