"PSPath","PSParentPath","PSChildName","UnixStat","PSDrive","PSProvider","PSIsContainer","UnixMode","User","Group","Size","Mode","ModeWithoutHardLink","VersionInfo","BaseName","ResolvedTarget","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/CoverLetters/the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/CoverLetters","the-cover-letter.docx","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","22892","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/CoverLetters/the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/CoverLetters/the-cover-letter.docx",,,"22892","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/CoverLetters","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/CoverLetters","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/CoverLetters/the-cover-letter.docx",".docx","the-cover-letter.docx","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","1/22/2017 9:22:40 PM","1/23/2017 2:22:40 AM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/2010AdoptedScienceStandards.pdf","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","2010AdoptedScienceStandards.pdf","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","528847","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/2010AdoptedScienceStandards.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2010AdoptedScienceStandards","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/2010AdoptedScienceStandards.pdf",,,"528847","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/2010AdoptedScienceStandards.pdf",".pdf","2010AdoptedScienceStandards.pdf","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 8:53:06 AM","7/14/2016 12:53:06 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/cle-other-science.pdf","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","cle-other-science.pdf","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","491735","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/cle-other-science.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","cle-other-science","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/cle-other-science.pdf",,,"491735","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/cle-other-science.pdf",".pdf","cle-other-science.pdf","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 8:52:46 AM","7/14/2016 12:52:46 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/K-12_Science_Performance_Expectations_v5_496901_7.pdf","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","K-12_Science_Performance_Expectations_v5_496901_7.pdf","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","1017137","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/K-12_Science_Performance_Expectations_v5_496901_7.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","K-12_Science_Performance_Expectations_v5_496901_7","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/K-12_Science_Performance_Expectations_v5_496901_7.pdf",,,"1017137","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/K-12_Science_Performance_Expectations_v5_496901_7.pdf",".pdf","K-12_Science_Performance_Expectations_v5_496901_7.pdf","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 8:52:54 AM","7/14/2016 12:52:54 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/nssmic15.docx","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","nssmic15.docx","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","71009","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/nssmic15.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","nssmic15","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/nssmic15.docx",,,"71009","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/nssmic15.docx",".docx","nssmic15.docx","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 11:02:04 AM","7/14/2016 3:02:04 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","1167470","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf",,,"1167470","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf",".pdf","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 9:46:12 AM","7/14/2016 1:46:12 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/stds_scienceKinder.pdf","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","stds_scienceKinder.pdf","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","61430","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/stds_scienceKinder.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","stds_scienceKinder","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/stds_scienceKinder.pdf",,,"61430","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Sciences/stds_scienceKinder.pdf",".pdf","stds_scienceKinder.pdf","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 8:49:38 AM","7/14/2016 12:49:38 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/APA-Citation-Work-Cited1.docx","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","APA-Citation-Work-Cited1.docx","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","49920","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/APA-Citation-Work-Cited1.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","APA-Citation-Work-Cited1","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/APA-Citation-Work-Cited1.docx",,,"49920","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/APA-Citation-Work-Cited1.docx",".docx","APA-Citation-Work-Cited1.docx","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 11:01:46 AM","7/14/2016 3:01:46 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/Microsoft-Word-Trifold-Brochure-Template.docx","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","Microsoft-Word-Trifold-Brochure-Template.docx","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","79583","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/Microsoft-Word-Trifold-Brochure-Template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft-Word-Trifold-Brochure-Template","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/Microsoft-Word-Trifold-Brochure-Template.docx",,,"79583","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/Microsoft-Word-Trifold-Brochure-Template.docx",".docx","Microsoft-Word-Trifold-Brochure-Template.docx","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 11:01:48 AM","7/14/2016 3:01:48 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
"Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/rgo_template.docx","Microsoft.PowerShell.Core\FileSystem::/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","rgo_template.docx","System.Management.Automation.Platform+Unix+CommonStat","/","Microsoft.PowerShell.Core\FileSystem","False","-rw-r--r--","sarahfornaldes","staff","8362477","-----","-----","File:             /Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/rgo_template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","rgo_template","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/rgo_template.docx",,,"8362477","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates","False","/Users/sarahfornaldes/Desktop/SYS-320-01/Week13/Classwork/Documents/Documents/Templates/rgo_template.docx",".docx","rgo_template.docx","True","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","11/30/2022 9:33:55 AM","11/30/2022 2:33:55 PM","7/14/2016 11:01:40 AM","7/14/2016 3:01:40 PM",,"OtherRead, GroupRead, UserWrite, UserRead","Normal"
